Part/Size:Vector3:55, 0.4000000059604645, 50/Position:Vector3:15.5, 0.20000000298023224, 281/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:Smooth Block Model/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:4, 1.2000000476837158, 4/Position:Vector3:-8, 1, 303/Color:Color3:0.156863, 0.498039, 0.278431/Name:string:Head/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
SpawnLocation/Size:Vector3:6, 1.2000000476837158, 6/Position:Vector3:0, 1, 207/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:SpawnLocation/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
SpawnLocation/Size:Vector3:6, 1.2000000476837158, 6/Position:Vector3:34, 1, 208/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:SpawnLocation/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:4, 1.2000000476837158, 4/Position:Vector3:4, 1, 303/Color:Color3:0.156863, 0.498039, 0.278431/Name:string:Head/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:4, 1.2000000476837158, 4/Position:Vector3:40, 1, 303/Color:Color3:0.156863, 0.498039, 0.278431/Name:string:Head/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:4, 1.2000000476837158, 4/Position:Vector3:15, 1, 303/Color:Color3:0.156863, 0.498039, 0.278431/Name:string:Head/Orientation:Vector3:0, 180, 0/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 0.4000000059604645, 2/Position:Vector3:-54.199981689453125, 24.193344116210938, -239/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:Egg1/Orientation:Vector3:-0.0020000000949949026, 179.9980010986328, 0.0020000000949949026/Anchored:boolean:true/CanCollide:boolean:false/
Part/Size:Vector3:2, 0.4000000059604645, 2/Position:Vector3:49.800018310546875, 24.193336486816406, -241/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:Egg2/Orientation:Vector3:-0.0020000000949949026, 179.9980010986328, 0.0020000000949949026/Anchored:boolean:true/CanCollide:boolean:false/
Part/Size:Vector3:2, 0.4000000059604645, 2/Position:Vector3:13.800018310546875, 23.7933406829834, -240/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:Egg3/Orientation:Vector3:-0.0020000000949949026, 179.9980010986328, 0.0020000000949949026/Anchored:boolean:true/CanCollide:boolean:false/
Part/Size:Vector3:2, 0.4000000059604645, 2/Position:Vector3:84.80001831054688, 23.393333435058594, -241/Color:Color3:0.639216, 0.635294, 0.647059/Name:string:Egg4/Orientation:Vector3:-0.0020000000949949026, 179.9980010986328, 0.0020000000949949026/Anchored:boolean:true/CanCollide:boolean:false/
