Part/Size:Vector3:2, 4.400000095367432, 2/Position:Vector3:-262.0010681152344, 20.076597213745117, -601.002685546875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:-0.15800000727176666, 179.99899291992188, 0.6669999957084656/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 5.200000286102295, 2/Position:Vector3:-265.02203369140625, 18.31148338317871, -601.0076293945312/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.1589999943971634, -0.0010000000474974513, -90.66699981689453/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.40000057220459, 2/Position:Vector3:-265.0189208984375, 18.577062606811523, -595.2069091796875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, -89.84200286865234/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 5.200000286102295, 2/Position:Vector3:-265.38006591796875, 21.89662742614746, -600.9977416992188/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.15800000727176666, -0.0010000000474974513, -90.66699981689453/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.40000057220459, 2/Position:Vector3:-267.01873779296875, 18.600339889526367, -595.2069091796875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, -89.84200286865234/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 10.40000057220459, 2/Position:Vector3:-263.01904296875, 18.553823471069336, -595.2069702148438/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, -89.84100341796875/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:10, 2.799999952316284, 1/Position:Vector3:-262.4859619140625, 21.36867332458496, -594.9991455078125/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, 0.1589999943971634/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:6, 2.799999952316284, 2/Position:Vector3:-264.9970703125, 20.43556785583496, -601.0017700195312/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.15800000727176666, -0.0010000000474974513, -0.6669999957084656/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:6, 2.799999952316284, 2/Position:Vector3:-264.99725341796875, 20.402379989624023, -589.0018310546875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.15800000727176666, -0.0010000000474974513, -0.6669999957084656/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 5.200000286102295, 2/Position:Vector3:-265.3802795410156, 21.863431930541992, -588.997802734375/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.15800000727176666, -0.0010000000474974513, -90.66699981689453/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 5.200000286102295, 2/Position:Vector3:-265.0222473144531, 18.27821922302246, -589.0076904296875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.1589999943971634, -0.0010000000474974513, -90.66699981689453/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:12, 2.799999952316284, 1/Position:Vector3:-261.4976806640625, 20.35706901550293, -595.001953125/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, 0.1589999943971634/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 10, 2/Position:Vector3:-261.9688415527344, 22.835973739624023, -594.9951171875/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:0.6669999957084656, 90.0009994506836, -89.84200286865234/Anchored:boolean:true/CanCollide:boolean:true/
Part/Size:Vector3:2, 4.400000095367432, 2/Position:Vector3:-262.00103759765625, 20.061880111694336, -589.0027465820312/Color:Color3:0.768627, 0.156863, 0.109804/Name:string:Smooth Block Model/Orientation:Vector3:-0.15800000727176666, 179.99899291992188, 0.6669999957084656/Anchored:boolean:true/CanCollide:boolean:true/
